501,0.14,0.12,0.12,0.10,0.07,0.02,0.03,0.14,0.13,0.35,0.23,0.14,0.07,0.06,0.12,0.19,0.05,0.00,0.05,0.20,0.03,0.09,0.13,0.09,0.04,0.07,0.04,0.14,0.10,0.02,0.31,0.13,0.40,0.18,0.09,0.04,0.14,0.06,0.31,0.30,0.05,0.09,0.08,0.11,0.10,0.06,0.08,0.03,0.01,0.06,0.02,0.02,0.05,0.02,0.04,0.01,0.02,0.03,0.00,0.17,0.00,0.02,0.01,0.02,0.02,0.00,0.00,0.26,0.02,0.42,0.10,0.03,0.00,0.00,0.00,0.00,0.01,0.00,0.37,0.08,0.18,0.01,0.08,0.23,0.06,0.12,0.02,0.04,0.04,0.02,0.18,0.03,0.10,0.03,0.29,0.02,0.05,0.15,0.13,0.11,0.11,0.06,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.10,0.04,0.00,0.00,0.01,0.00,0.00,0.00,0.03,0.06,0.10,0.14,0.06,0.08,0.01,0.03,0.13,0.02,0.05,0.00,0.00,0.00,0.52,0.03,0.00,0.00,0.00,0.00,0.10,0.09,0.01,0.07,0.00,0.00,0.00,0.00,0.13,0.05,0.21,0.19,0.03,0.00,0.01,0.03,0.19,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
502,0.10,0.25,0.15,0.20,0.08,0.01,0.02,0.07,0.06,0.16,0.17,0.28,0.07,0.06,0.12,0.16,0.04,0.00,0.05,0.18,0.04,0.08,0.16,0.11,0.05,0.09,0.08,0.17,0.12,0.03,0.35,0.12,0.44,0.20,0.10,0.05,0.14,0.08,0.30,0.37,0.05,0.07,0.04,0.07,0.10,0.07,0.08,0.04,0.02,0.07,0.02,0.03,0.05,0.02,0.07,0.03,0.02,0.02,0.00,0.15,0.00,0.02,0.01,0.01,0.02,0.00,0.00,0.23,0.03,0.37,0.11,0.03,0.00,0.00,0.00,0.00,0.01,0.00,0.32,0.07,0.16,0.00,0.07,0.15,0.07,0.10,0.02,0.04,0.04,0.02,0.16,0.03,0.11,0.05,0.32,0.02,0.05,0.17,0.15,0.12,0.13,0.05,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.09,0.03,0.00,0.00,0.01,0.00,0.00,0.00,0.03,0.06,0.12,0.15,0.05,0.07,0.01,0.03,0.11,0.02,0.06,0.00,0.00,0.00,0.50,0.03,0.00,0.00,0.00,0.00,0.09,0.08,0.02,0.06,0.00,0.00,0.00,0.00,0.12,0.04,0.18,0.16,0.02,0.00,0.01,0.03,0.17,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
504,0.13,0.19,0.64,0.27,0.23,0.05,0.05,0.28,0.27,0.73,0.38,0.19,0.10,0.28,0.60,0.41,0.09,0.00,0.09,0.43,0.07,0.20,0.33,0.48,0.11,0.18,0.17,0.42,0.27,0.06,0.76,0.29,0.93,0.43,0.21,0.12,0.30,0.16,0.84,0.84,0.12,0.17,0.09,0.13,0.30,0.17,0.21,0.09,0.02,0.11,0.03,0.03,0.05,0.04,0.11,0.05,0.03,0.06,0.00,0.38,0.00,0.04,0.01,0.03,0.06,0.01,0.00,0.57,0.06,0.93,0.25,0.06,0.00,0.01,0.00,0.00,0.03,0.00,0.81,0.17,0.40,0.01,0.18,0.49,0.26,0.26,0.04,0.09,0.09,0.04,0.40,0.06,0.24,0.08,0.70,0.05,0.11,0.37,0.32,0.27,0.28,0.13,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.21,0.08,0.00,0.00,0.03,0.00,0.00,0.00,0.07,0.14,0.34,0.34,0.13,0.18,0.04,0.08,0.28,0.05,0.12,0.00,0.00,0.00,1.02,0.06,0.00,0.00,0.00,0.00,0.23,0.33,0.04,0.16,0.00,0.00,0.00,0.00,0.29,0.11,0.46,0.41,0.06,0.00,0.02,0.07,0.42,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
505,0.14,0.28,0.33,0.39,0.21,0.05,0.05,0.15,0.15,0.41,0.20,0.20,0.10,0.17,0.35,0.44,0.09,0.00,0.10,0.46,0.10,0.22,0.47,0.57,0.12,0.26,0.24,0.49,0.31,0.07,0.88,0.36,0.99,0.60,0.30,0.12,0.33,0.14,0.95,0.90,0.12,0.18,0.09,0.11,0.25,0.18,0.24,0.05,0.02,0.10,0.02,0.02,0.04,0.04,0.12,0.07,0.02,0.07,0.00,0.42,0.00,0.06,0.02,0.04,0.06,0.01,0.00,0.63,0.08,1.02,0.34,0.09,0.00,0.01,0.00,0.00,0.03,0.00,0.88,0.19,0.44,0.01,0.20,0.40,0.22,0.29,0.04,0.10,0.11,0.06,0.44,0.06,0.33,0.14,0.97,0.05,0.16,0.51,0.44,0.38,0.29,0.14,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.22,0.09,0.00,0.00,0.03,0.00,0.00,0.00,0.09,0.19,0.39,0.47,0.14,0.17,0.05,0.08,0.30,0.05,0.17,0.00,0.00,0.00,1.57,0.08,0.00,0.00,0.00,0.00,0.25,0.38,0.06,0.18,0.00,0.00,0.00,0.00,0.33,0.12,0.50,0.46,0.07,0.00,0.03,0.07,0.46,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
506,0.05,0.07,0.18,0.13,0.13,0.02,0.02,0.08,0.07,0.19,0.12,0.08,0.04,0.08,0.11,0.12,0.03,0.00,0.04,0.12,0.02,0.05,0.11,0.14,0.05,0.06,0.06,0.12,0.10,0.02,0.19,0.08,0.22,0.13,0.06,0.04,0.09,0.10,0.21,0.25,0.03,0.05,0.03,0.06,0.12,0.06,0.05,0.07,0.01,0.05,0.02,0.02,0.04,0.01,0.05,0.02,0.02,0.02,0.00,0.10,0.00,0.01,0.00,0.01,0.01,0.00,0.00,0.15,0.02,0.24,0.07,0.02,0.00,0.00,0.00,0.00,0.01,0.00,0.21,0.04,0.10,0.00,0.05,0.13,0.07,0.07,0.01,0.02,0.02,0.01,0.10,0.02,0.07,0.03,0.21,0.01,0.03,0.11,0.10,0.08,0.06,0.03,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.06,0.02,0.00,0.00,0.01,0.00,0.00,0.00,0.02,0.04,0.09,0.10,0.03,0.05,0.01,0.02,0.07,0.01,0.03,0.00,0.00,0.00,0.35,0.02,0.00,0.00,0.00,0.00,0.06,0.08,0.01,0.04,0.00,0.00,0.00,0.00,0.08,0.03,0.12,0.11,0.02,0.00,0.01,0.02,0.11,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
509,0.01,0.02,0.05,0.03,0.02,0.01,0.01,0.01,0.01,0.04,0.04,0.02,0.01,0.03,0.07,0.05,0.01,0.00,0.01,0.05,0.01,0.02,0.03,0.06,0.03,0.02,0.02,0.09,0.04,0.01,0.08,0.03,0.10,0.05,0.03,0.02,0.04,0.03,0.09,0.10,0.01,0.02,0.01,0.01,0.03,0.02,0.02,0.02,0.00,0.02,0.00,0.01,0.01,0.00,0.01,0.01,0.01,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.04,0.01,0.07,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.03,0.00,0.01,0.03,0.03,0.03,0.00,0.01,0.01,0.00,0.03,0.01,0.03,0.01,0.08,0.00,0.01,0.05,0.04,0.03,0.03,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.04,0.04,0.01,0.01,0.00,0.01,0.02,0.00,0.01,0.00,0.00,0.00,0.11,0.01,0.00,0.00,0.00,0.00,0.02,0.03,0.00,0.01,0.00,0.00,0.00,0.00,0.02,0.01,0.04,0.03,0.00,0.00,0.00,0.01,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
511,0.03,0.02,0.04,0.03,0.02,0.00,0.01,0.03,0.03,0.08,0.06,0.03,0.03,0.01,0.03,0.05,0.02,0.00,0.01,0.05,0.01,0.02,0.03,0.02,0.01,0.01,0.01,0.03,0.03,0.01,0.06,0.03,0.08,0.04,0.02,0.01,0.03,0.02,0.07,0.07,0.01,0.03,0.02,0.03,0.03,0.01,0.02,0.01,0.00,0.02,0.01,0.01,0.02,0.00,0.01,0.00,0.01,0.01,0.00,0.04,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.06,0.00,0.09,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.02,0.04,0.00,0.02,0.05,0.02,0.03,0.00,0.01,0.01,0.00,0.04,0.01,0.02,0.01,0.06,0.00,0.01,0.03,0.03,0.03,0.02,0.01,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.03,0.03,0.01,0.02,0.00,0.01,0.03,0.00,0.01,0.00,0.00,0.00,0.11,0.01,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.04,0.01,0.00,0.00,0.01,0.04,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
512,0.10,0.08,0.17,0.11,0.06,0.01,0.03,0.22,0.15,0.25,0.18,0.14,0.12,0.04,0.21,0.32,0.07,0.00,0.07,0.17,0.03,0.06,0.05,0.07,0.04,0.03,0.02,0.09,0.07,0.02,0.16,0.08,0.21,0.11,0.05,0.04,0.08,0.10,0.18,0.23,0.07,0.12,0.06,0.17,0.11,0.06,0.05,0.05,0.04,0.11,0.04,0.07,0.13,0.01,0.06,0.01,0.06,0.02,0.00,0.10,0.00,0.01,0.00,0.01,0.02,0.00,0.00,0.16,0.01,0.27,0.05,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.24,0.05,0.11,0.00,0.05,0.15,0.04,0.07,0.01,0.03,0.03,0.01,0.11,0.02,0.05,0.03,0.18,0.01,0.03,0.10,0.08,0.08,0.07,0.04,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.03,0.00,0.00,0.01,0.00,0.00,0.00,0.02,0.03,0.06,0.08,0.04,0.05,0.01,0.02,0.08,0.02,0.03,0.00,0.00,0.00,0.30,0.01,0.00,0.00,0.00,0.00,0.06,0.05,0.01,0.04,0.00,0.00,0.00,0.00,0.08,0.04,0.13,0.11,0.02,0.00,0.00,0.04,0.12,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
513,0.08,0.05,0.13,0.10,0.04,0.01,0.02,0.14,0.17,0.19,0.14,0.12,0.10,0.04,0.18,0.27,0.06,0.00,0.07,0.14,0.02,0.05,0.04,0.05,0.03,0.02,0.02,0.07,0.07,0.01,0.13,0.06,0.16,0.08,0.04,0.04,0.07,0.11,0.14,0.20,0.05,0.10,0.05,0.16,0.09,0.05,0.03,0.03,0.03,0.11,0.04,0.07,0.13,0.01,0.06,0.01,0.06,0.01,0.00,0.08,0.00,0.01,0.00,0.01,0.01,0.00,0.00,0.12,0.01,0.20,0.05,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.19,0.04,0.09,0.00,0.04,0.12,0.03,0.06,0.01,0.02,0.02,0.01,0.09,0.02,0.05,0.03,0.13,0.01,0.02,0.07,0.06,0.05,0.05,0.03,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.05,0.06,0.03,0.04,0.01,0.02,0.08,0.01,0.02,0.00,0.00,0.00,0.23,0.01,0.00,0.00,0.00,0.00,0.05,0.04,0.01,0.03,0.00,0.00,0.00,0.00,0.06,0.03,0.10,0.09,0.01,0.00,0.00,0.04,0.09,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
514,0.21,0.13,0.36,0.27,0.10,0.03,0.05,0.19,0.17,0.54,0.32,0.32,0.27,0.06,0.19,0.28,0.12,0.01,0.17,0.29,0.04,0.08,0.09,0.10,0.06,0.05,0.03,0.11,0.12,0.02,0.18,0.09,0.23,0.10,0.05,0.07,0.12,0.27,0.20,0.34,0.08,0.18,0.09,0.39,0.22,0.08,0.05,0.13,0.10,0.27,0.12,0.19,0.35,0.01,0.15,0.02,0.17,0.02,0.00,0.12,0.00,0.01,0.00,0.01,0.02,0.00,0.00,0.19,0.01,0.32,0.06,0.02,0.00,0.00,0.00,0.00,0.01,0.00,0.31,0.06,0.14,0.00,0.06,0.19,0.05,0.09,0.01,0.03,0.03,0.01,0.13,0.04,0.05,0.03,0.17,0.02,0.02,0.10,0.08,0.09,0.07,0.04,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.07,0.03,0.00,0.00,0.01,0.00,0.00,0.00,0.02,0.03,0.08,0.08,0.05,0.06,0.01,0.03,0.10,0.03,0.04,0.00,0.00,0.00,0.33,0.01,0.00,0.00,0.00,0.00,0.07,0.06,0.01,0.05,0.00,0.00,0.00,0.00,0.10,0.05,0.15,0.14,0.02,0.00,0.00,0.08,0.15,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
