501,0.02,0.02,0.03,0.02,0.01,0.00,0.00,0.02,0.03,0.06,0.03,0.02,0.01,0.01,0.03,0.04,0.01,0.00,0.01,0.04,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.03,0.02,0.00,0.06,0.03,0.08,0.03,0.02,0.01,0.03,0.02,0.06,0.07,0.01,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.00,0.01,0.00,0.01,0.01,0.01,0.01,0.00,0.01,0.01,0.00,0.10,0.00,0.01,0.00,0.01,0.01,0.00,0.00,0.06,0.01,0.10,0.04,0.01,0.00,0.02,0.00,0.00,0.01,0.00,0.10,0.03,0.05,0.00,0.02,0.06,0.01,0.02,0.00,0.01,0.03,0.01,0.04,0.01,0.03,0.01,0.07,0.01,0.01,0.04,0.04,0.03,0.03,0.01,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.03,0.04,0.01,0.02,0.00,0.01,0.03,0.01,0.02,0.00,0.00,0.00,0.09,0.01,0.00,0.00,0.00,0.00,0.03,0.03,0.01,0.02,0.00,0.00,0.01,0.00,0.04,0.01,0.05,0.07,0.01,0.00,0.00,0.01,0.05,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
502,0.02,0.03,0.03,0.03,0.01,0.00,0.00,0.01,0.01,0.03,0.03,0.05,0.01,0.01,0.02,0.03,0.01,0.00,0.01,0.03,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.03,0.02,0.01,0.06,0.02,0.07,0.03,0.02,0.01,0.02,0.02,0.04,0.07,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.00,0.01,0.00,0.01,0.01,0.00,0.02,0.00,0.01,0.01,0.00,0.07,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.04,0.01,0.07,0.03,0.01,0.00,0.02,0.00,0.00,0.01,0.00,0.07,0.02,0.03,0.00,0.02,0.03,0.01,0.01,0.00,0.01,0.02,0.01,0.03,0.01,0.02,0.01,0.06,0.01,0.01,0.04,0.03,0.03,0.03,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.03,0.03,0.01,0.02,0.00,0.01,0.02,0.00,0.02,0.00,0.00,0.00,0.07,0.01,0.00,0.00,0.00,0.00,0.02,0.02,0.01,0.02,0.00,0.00,0.01,0.00,0.03,0.01,0.04,0.05,0.01,0.00,0.00,0.01,0.04,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
504,0.03,0.04,0.10,0.05,0.04,0.01,0.01,0.06,0.06,0.15,0.08,0.04,0.02,0.06,0.13,0.10,0.02,0.00,0.02,0.10,0.02,0.05,0.07,0.10,0.03,0.04,0.03,0.10,0.07,0.01,0.18,0.07,0.22,0.10,0.05,0.03,0.08,0.05,0.18,0.21,0.03,0.04,0.02,0.03,0.04,0.04,0.05,0.02,0.01,0.03,0.01,0.01,0.01,0.01,0.03,0.01,0.01,0.02,0.00,0.26,0.00,0.01,0.00,0.02,0.03,0.01,0.00,0.15,0.02,0.25,0.10,0.03,0.00,0.05,0.00,0.00,0.04,0.00,0.25,0.09,0.11,0.01,0.06,0.16,0.08,0.05,0.01,0.03,0.08,0.02,0.11,0.02,0.08,0.02,0.19,0.02,0.03,0.11,0.10,0.08,0.08,0.04,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.06,0.03,0.00,0.00,0.01,0.00,0.00,0.00,0.05,0.06,0.10,0.10,0.04,0.06,0.02,0.02,0.08,0.02,0.05,0.00,0.00,0.00,0.21,0.03,0.00,0.00,0.00,0.00,0.08,0.10,0.03,0.06,0.00,0.00,0.04,0.00,0.09,0.03,0.14,0.18,0.02,0.00,0.01,0.02,0.13,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
505,0.02,0.04,0.05,0.05,0.04,0.01,0.01,0.03,0.03,0.08,0.04,0.04,0.02,0.03,0.07,0.09,0.02,0.00,0.02,0.09,0.02,0.04,0.07,0.10,0.03,0.04,0.04,0.10,0.06,0.01,0.18,0.06,0.18,0.11,0.06,0.02,0.07,0.03,0.16,0.18,0.02,0.03,0.02,0.02,0.04,0.04,0.05,0.01,0.00,0.02,0.00,0.01,0.01,0.01,0.03,0.01,0.01,0.02,0.00,0.24,0.00,0.01,0.00,0.02,0.03,0.01,0.00,0.14,0.02,0.21,0.11,0.03,0.00,0.05,0.00,0.00,0.03,0.00,0.21,0.08,0.10,0.01,0.05,0.09,0.05,0.04,0.01,0.02,0.07,0.02,0.09,0.02,0.08,0.04,0.21,0.02,0.04,0.12,0.11,0.09,0.07,0.03,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.05,0.02,0.00,0.00,0.01,0.00,0.00,0.00,0.05,0.06,0.09,0.11,0.03,0.05,0.01,0.02,0.07,0.01,0.06,0.00,0.00,0.00,0.26,0.03,0.00,0.00,0.00,0.00,0.08,0.10,0.04,0.05,0.00,0.00,0.04,0.00,0.08,0.03,0.12,0.16,0.02,0.00,0.01,0.02,0.11,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
506,0.01,0.01,0.03,0.02,0.02,0.00,0.00,0.01,0.01,0.04,0.02,0.02,0.01,0.02,0.03,0.03,0.01,0.00,0.01,0.03,0.00,0.01,0.02,0.03,0.01,0.01,0.01,0.03,0.02,0.01,0.04,0.02,0.04,0.03,0.01,0.01,0.02,0.03,0.04,0.06,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.00,0.01,0.00,0.01,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.03,0.01,0.06,0.03,0.01,0.00,0.01,0.00,0.00,0.01,0.00,0.06,0.02,0.03,0.00,0.01,0.04,0.02,0.01,0.00,0.01,0.02,0.01,0.02,0.00,0.02,0.01,0.05,0.00,0.01,0.03,0.03,0.02,0.02,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.03,0.01,0.01,0.00,0.01,0.02,0.00,0.01,0.00,0.00,0.00,0.06,0.01,0.00,0.00,0.00,0.00,0.02,0.02,0.01,0.01,0.00,0.00,0.01,0.00,0.02,0.01,0.03,0.04,0.01,0.00,0.00,0.01,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
509,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.01,0.01,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.01,0.01,0.00,0.00,0.02,0.01,0.00,0.02,0.01,0.02,0.01,0.01,0.00,0.01,0.01,0.02,0.03,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.01,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.02,0.00,0.00,0.01,0.01,0.01,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
511,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,0.00,0.01,0.01,0.00,0.00,0.00,0.01,0.01,0.01,0.00,0.01,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
512,0.02,0.01,0.04,0.02,0.01,0.00,0.00,0.03,0.02,0.04,0.03,0.03,0.02,0.01,0.04,0.06,0.01,0.00,0.02,0.04,0.01,0.01,0.01,0.02,0.01,0.01,0.00,0.02,0.02,0.00,0.03,0.02,0.04,0.02,0.01,0.01,0.02,0.03,0.03,0.06,0.01,0.02,0.01,0.03,0.02,0.02,0.01,0.01,0.01,0.02,0.01,0.02,0.03,0.00,0.02,0.00,0.02,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.04,0.00,0.06,0.02,0.01,0.00,0.01,0.00,0.00,0.01,0.00,0.07,0.02,0.03,0.00,0.01,0.04,0.01,0.01,0.00,0.01,0.02,0.00,0.03,0.01,0.02,0.01,0.04,0.00,0.01,0.03,0.02,0.02,0.02,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.02,0.01,0.01,0.00,0.01,0.02,0.01,0.01,0.00,0.00,0.00,0.05,0.01,0.00,0.00,0.00,0.00,0.02,0.02,0.01,0.01,0.00,0.00,0.01,0.00,0.02,0.01,0.03,0.04,0.01,0.00,0.00,0.01,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
513,0.02,0.01,0.03,0.02,0.01,0.00,0.00,0.02,0.02,0.03,0.03,0.03,0.02,0.01,0.04,0.05,0.01,0.00,0.02,0.03,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.02,0.02,0.00,0.02,0.01,0.03,0.01,0.01,0.01,0.02,0.03,0.02,0.05,0.01,0.02,0.01,0.03,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.03,0.00,0.02,0.00,0.02,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.03,0.00,0.05,0.01,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.05,0.01,0.02,0.00,0.01,0.03,0.01,0.01,0.00,0.00,0.01,0.00,0.02,0.00,0.01,0.01,0.03,0.00,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.02,0.00,0.01,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,0.00,0.00,0.01,0.00,0.02,0.01,0.02,0.03,0.00,0.00,0.00,0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
514,0.04,0.03,0.09,0.06,0.02,0.01,0.01,0.04,0.03,0.08,0.06,0.08,0.04,0.02,0.05,0.07,0.02,0.00,0.05,0.07,0.01,0.02,0.02,0.03,0.02,0.01,0.01,0.03,0.03,0.01,0.04,0.02,0.05,0.02,0.01,0.02,0.03,0.09,0.03,0.08,0.02,0.04,0.02,0.08,0.05,0.02,0.01,0.04,0.02,0.05,0.03,0.04,0.08,0.00,0.04,0.01,0.04,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.05,0.01,0.08,0.02,0.01,0.00,0.01,0.00,0.00,0.01,0.00,0.09,0.02,0.04,0.00,0.02,0.06,0.01,0.01,0.00,0.01,0.02,0.01,0.03,0.01,0.02,0.01,0.04,0.01,0.00,0.03,0.03,0.03,0.02,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.02,0.01,0.02,0.00,0.01,0.03,0.01,0.01,0.00,0.00,0.00,0.06,0.01,0.00,0.00,0.00,0.00,0.02,0.02,0.01,0.02,0.00,0.00,0.01,0.00,0.03,0.02,0.04,0.05,0.01,0.00,0.00,0.02,0.04,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
