501,0.01,0.06,0.33,0.26,0.04,0.01,0.01,0.05,0.04,0.05,0.04,0.38,0.07,0.03,0.09,0.07,0.03,0.00,0.05,0.13,0.03,0.01,0.05,0.02,0.03,0.02,0.00,0.03,0.08,0.02,0.03,0.01,0.05,0.00,0.00,0.08,0.06,0.35,0.00,0.16,0.00,0.03,0.02,0.14,0.12,0.08,0.00,0.13,0.04,0.11,0.07,0.13,0.16,0.00,0.07,0.01,0.06,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.04,0.00,0.08,0.01,0.00,0.00,0.02,0.00,0.00,0.01,0.00,0.07,0.02,0.03,0.00,0.03,0.05,0.02,0.05,0.00,0.01,0.01,0.00,0.02,0.02,0.02,0.02,0.02,0.00,0.00,0.03,0.03,0.01,0.01,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.03,0.03,0.00,0.00,0.02,0.02,0.02,0.00,0.00,0.00,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.02,0.00,0.02,0.01,0.01,0.03,0.00,0.00,0.00,0.08,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
502,0.04,0.01,0.32,0.17,0.04,0.02,0.02,0.06,0.02,0.03,0.09,0.14,0.08,0.03,0.08,0.06,0.03,0.00,0.04,0.10,0.04,0.01,0.07,0.02,0.03,0.02,0.01,0.03,0.08,0.03,0.03,0.01,0.06,0.00,0.00,0.08,0.06,0.31,0.00,0.19,0.00,0.02,0.02,0.08,0.13,0.08,0.00,0.12,0.03,0.09,0.05,0.10,0.11,0.00,0.08,0.01,0.04,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.04,0.00,0.07,0.01,0.00,0.00,0.02,0.00,0.00,0.01,0.00,0.05,0.02,0.03,0.00,0.02,0.04,0.02,0.04,0.00,0.00,0.01,0.00,0.02,0.02,0.03,0.03,0.02,0.00,0.00,0.04,0.04,0.01,0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.03,0.02,0.00,0.00,0.02,0.01,0.01,0.00,0.00,0.00,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.02,0.00,0.02,0.01,0.01,0.03,0.00,0.00,0.00,0.06,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
504,0.51,0.47,0.19,1.35,0.10,0.14,0.14,0.46,0.19,0.26,0.76,3.24,0.40,0.39,1.20,0.56,0.21,0.02,0.34,0.80,0.32,0.05,0.47,0.28,0.32,0.18,0.06,0.30,0.75,0.23,0.29,0.13,0.42,0.01,0.01,0.75,0.63,3.17,0.01,1.85,0.01,0.18,0.16,0.65,0.59,0.76,0.01,0.65,0.26,0.72,0.44,0.83,0.90,0.02,0.69,0.08,0.35,0.01,0.00,0.18,0.00,0.01,0.01,0.01,0.10,0.01,0.00,0.30,0.04,0.54,0.06,0.03,0.00,0.16,0.00,0.00,0.06,0.00,0.42,0.13,0.21,0.01,0.18,0.31,0.20,0.35,0.02,0.04,0.08,0.04,0.15,0.14,0.23,0.24,0.19,0.02,0.01,0.33,0.34,0.09,0.03,0.15,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.29,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.05,0.16,0.08,0.22,0.19,0.01,0.01,0.16,0.10,0.11,0.00,0.00,0.00,0.14,0.06,0.00,0.00,0.00,0.00,0.04,0.05,0.02,0.08,0.00,0.00,0.15,0.00,0.15,0.05,0.10,0.22,0.02,0.00,0.03,0.49,0.08,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
505,0.29,0.21,1.54,0.19,0.10,0.10,0.09,0.17,0.11,0.15,0.47,1.70,0.41,0.24,0.46,0.33,0.12,0.01,0.16,0.75,0.18,0.03,0.27,0.17,0.19,0.11,0.04,0.18,0.44,0.16,0.21,0.07,0.21,0.01,0.01,0.45,0.37,1.85,0.01,1.09,0.01,0.10,0.09,0.36,0.53,0.45,0.00,0.54,0.14,0.39,0.21,0.46,0.49,0.01,0.42,0.05,0.19,0.00,0.00,0.11,0.00,0.00,0.01,0.01,0.04,0.01,0.00,0.18,0.02,0.31,0.04,0.02,0.00,0.09,0.00,0.00,0.03,0.00,0.23,0.08,0.12,0.01,0.10,0.15,0.12,0.19,0.01,0.02,0.05,0.02,0.08,0.08,0.14,0.15,0.12,0.01,0.01,0.20,0.21,0.05,0.02,0.09,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.16,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.09,0.05,0.13,0.11,0.01,0.01,0.09,0.06,0.06,0.00,0.00,0.00,0.14,0.04,0.00,0.00,0.00,0.00,0.02,0.03,0.01,0.05,0.00,0.00,0.09,0.00,0.09,0.03,0.06,0.13,0.01,0.00,0.02,0.24,0.05,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
506,0.05,0.05,0.19,0.19,0.00,0.01,0.01,0.04,0.02,0.03,0.07,0.19,0.04,0.04,0.12,0.06,0.02,0.00,0.03,0.08,0.03,0.01,0.06,0.03,0.05,0.02,0.01,0.03,0.08,0.03,0.03,0.01,0.04,0.00,0.00,0.07,0.06,0.37,0.00,0.19,0.00,0.02,0.02,0.06,0.05,0.08,0.00,0.05,0.03,0.07,0.04,0.08,0.09,0.00,0.06,0.01,0.03,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.03,0.00,0.05,0.01,0.00,0.00,0.02,0.00,0.00,0.01,0.00,0.04,0.01,0.02,0.00,0.02,0.03,0.02,0.03,0.00,0.00,0.01,0.00,0.01,0.01,0.02,0.03,0.02,0.00,0.00,0.04,0.04,0.01,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,0.02,0.00,0.00,0.02,0.01,0.01,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.01,0.01,0.01,0.02,0.00,0.00,0.00,0.05,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
509,0.02,0.01,0.11,0.10,0.01,0.00,0.01,0.01,0.01,0.01,0.04,0.10,0.02,0.02,0.06,0.03,0.01,0.00,0.02,0.04,0.02,0.00,0.03,0.01,0.03,0.01,0.00,0.02,0.04,0.01,0.01,0.01,0.02,0.00,0.00,0.04,0.03,0.19,0.00,0.10,0.00,0.01,0.01,0.03,0.03,0.04,0.00,0.04,0.01,0.03,0.02,0.04,0.04,0.00,0.03,0.00,0.02,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.03,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.02,0.01,0.01,0.00,0.01,0.01,0.01,0.02,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.02,0.02,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.00,0.00,0.01,0.01,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
511,0.01,0.02,0.09,0.09,0.01,0.01,0.00,0.02,0.01,0.02,0.01,0.15,0.01,0.01,0.03,0.03,0.02,0.00,0.02,0.05,0.01,0.00,0.03,0.01,0.01,0.01,0.00,0.01,0.03,0.01,0.01,0.00,0.02,0.00,0.00,0.03,0.02,0.13,0.00,0.05,0.00,0.01,0.01,0.05,0.02,0.02,0.00,0.04,0.02,0.04,0.03,0.05,0.06,0.00,0.03,0.00,0.02,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.03,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.02,0.01,0.01,0.00,0.01,0.02,0.01,0.02,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.01,0.01,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.00,0.00,0.01,0.01,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.01,0.01,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
512,0.07,0.05,0.42,0.20,0.05,0.01,0.02,0.01,0.02,0.06,0.09,0.33,0.10,0.04,0.19,0.15,0.06,0.00,0.07,0.17,0.04,0.01,0.06,0.02,0.04,0.02,0.01,0.04,0.08,0.03,0.03,0.02,0.06,0.00,0.00,0.10,0.09,0.42,0.00,0.25,0.00,0.06,0.05,0.17,0.16,0.10,0.00,0.16,0.06,0.15,0.09,0.16,0.22,0.00,0.09,0.01,0.08,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.06,0.00,0.11,0.01,0.00,0.00,0.03,0.00,0.00,0.01,0.00,0.09,0.02,0.04,0.00,0.04,0.06,0.02,0.06,0.00,0.01,0.02,0.01,0.03,0.03,0.02,0.04,0.03,0.00,0.00,0.05,0.05,0.01,0.01,0.03,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.04,0.04,0.00,0.00,0.03,0.03,0.02,0.00,0.00,0.00,0.03,0.01,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.02,0.00,0.00,0.03,0.00,0.03,0.01,0.02,0.04,0.00,0.00,0.00,0.10,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
513,0.06,0.04,0.34,0.15,0.04,0.01,0.02,0.03,0.00,0.05,0.09,0.25,0.08,0.03,0.15,0.11,0.05,0.00,0.06,0.13,0.03,0.01,0.04,0.02,0.03,0.01,0.00,0.03,0.07,0.02,0.03,0.01,0.05,0.00,0.00,0.09,0.07,0.35,0.00,0.21,0.00,0.03,0.04,0.14,0.14,0.09,0.00,0.07,0.04,0.12,0.07,0.13,0.17,0.00,0.07,0.01,0.07,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.05,0.00,0.08,0.01,0.00,0.00,0.02,0.00,0.00,0.01,0.00,0.07,0.02,0.03,0.00,0.03,0.05,0.02,0.05,0.00,0.01,0.01,0.00,0.02,0.02,0.01,0.03,0.02,0.00,0.00,0.04,0.04,0.01,0.01,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.04,0.03,0.00,0.00,0.03,0.02,0.02,0.00,0.00,0.00,0.03,0.01,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,0.00,0.00,0.02,0.00,0.02,0.01,0.02,0.03,0.00,0.00,0.00,0.08,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
514,0.08,0.05,0.43,0.19,0.05,0.02,0.02,0.07,0.04,0.03,0.11,0.33,0.10,0.03,0.12,0.15,0.06,0.00,0.07,0.18,0.04,0.01,0.06,0.02,0.04,0.02,0.00,0.03,0.07,0.03,0.03,0.01,0.05,0.00,0.00,0.09,0.07,0.48,0.00,0.20,0.00,0.06,0.05,0.17,0.17,0.08,0.00,0.10,0.06,0.16,0.09,0.17,0.22,0.00,0.09,0.01,0.09,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.06,0.00,0.11,0.01,0.00,0.00,0.03,0.00,0.00,0.01,0.00,0.09,0.02,0.04,0.00,0.04,0.06,0.02,0.07,0.00,0.01,0.02,0.01,0.03,0.03,0.02,0.03,0.03,0.00,0.00,0.04,0.04,0.02,0.01,0.03,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.05,0.04,0.00,0.00,0.03,0.03,0.02,0.00,0.00,0.00,0.02,0.01,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.02,0.00,0.00,0.03,0.00,0.03,0.01,0.02,0.04,0.00,0.00,0.00,0.10,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
