501,0.00,0.02,0.41,0.40,0.03,0.01,0.00,0.03,0.03,0.03,0.00,0.27,0.02,0.02,0.05,0.04,0.02,0.00,0.01,0.10,0.03,0.01,0.04,0.00,0.03,0.01,0.00,0.04,0.08,0.03,0.04,0.01,0.10,0.00,0.00,0.15,0.06,0.77,0.00,0.15,0.00,0.01,0.01,0.13,0.09,0.10,0.00,0.27,0.02,0.06,0.06,0.10,0.09,0.00,0.04,0.00,0.03,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.13,0.04,0.13,0.02,0.02,0.00,0.02,0.00,0.00,0.01,0.00,0.07,0.02,0.03,0.00,0.03,0.06,0.02,0.12,0.00,0.01,0.01,0.01,0.02,0.02,0.04,0.05,0.03,0.00,0.00,0.07,0.07,0.02,0.01,0.04,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.02,0.01,0.05,0.03,0.00,0.00,0.02,0.03,0.01,0.00,0.00,0.00,0.03,0.03,0.00,0.00,0.00,0.00,0.02,0.01,0.00,0.03,0.00,0.00,0.02,0.00,0.02,0.01,0.02,0.04,0.00,0.00,0.00,0.04,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
502,0.00,0.00,0.61,0.05,0.01,0.04,0.02,0.09,0.01,0.01,0.06,0.01,0.04,0.01,0.04,0.05,0.02,0.00,0.01,0.09,0.06,0.00,0.07,0.00,0.02,0.02,0.00,0.03,0.07,0.03,0.04,0.01,0.10,0.00,0.00,0.13,0.07,0.39,0.00,0.19,0.00,0.01,0.02,0.04,0.20,0.09,0.00,0.20,0.02,0.05,0.07,0.12,0.06,0.00,0.03,0.01,0.02,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.11,0.04,0.11,0.02,0.02,0.00,0.02,0.00,0.00,0.01,0.00,0.06,0.01,0.03,0.00,0.02,0.05,0.02,0.10,0.00,0.01,0.01,0.01,0.02,0.02,0.04,0.05,0.03,0.00,0.00,0.08,0.07,0.01,0.01,0.04,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.03,0.01,0.04,0.02,0.00,0.00,0.02,0.02,0.01,0.00,0.00,0.00,0.03,0.03,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.03,0.00,0.00,0.01,0.00,0.02,0.01,0.01,0.03,0.00,0.00,0.00,0.04,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
504,0.55,0.29,0.00,0.37,0.00,0.09,0.18,1.07,0.13,0.12,0.97,5.49,0.20,0.38,1.55,0.44,0.23,0.02,0.13,0.89,0.59,0.05,0.30,0.11,0.14,0.09,0.01,0.22,0.57,0.26,0.36,0.13,0.50,0.01,0.03,0.99,0.67,3.92,0.02,1.64,0.02,0.10,0.21,0.41,0.13,0.75,0.01,0.19,0.17,0.54,0.70,1.30,0.67,0.04,0.25,0.05,0.19,0.01,0.00,0.25,0.00,0.01,0.01,0.02,0.12,0.01,0.00,1.12,0.40,1.11,0.18,0.20,0.00,0.16,0.00,0.00,0.07,0.00,0.64,0.13,0.26,0.02,0.23,0.49,0.23,1.01,0.03,0.06,0.06,0.13,0.19,0.18,0.46,0.57,0.36,0.02,0.04,0.82,0.76,0.09,0.05,0.36,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.41,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.31,0.20,0.31,0.16,0.39,0.24,0.02,0.02,0.18,0.19,0.13,0.00,0.00,0.00,0.17,0.28,0.00,0.00,0.00,0.00,0.15,0.15,0.04,0.28,0.00,0.00,0.15,0.00,0.16,0.06,0.15,0.33,0.03,0.00,0.05,0.37,0.14,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
505,0.15,0.04,1.90,0.00,0.01,0.09,0.17,0.14,0.09,0.09,0.85,1.10,0.46,0.27,0.17,0.27,0.15,0.01,0.06,1.03,0.33,0.03,0.14,0.08,0.09,0.04,0.01,0.14,0.35,0.20,0.28,0.08,0.28,0.01,0.02,0.62,0.40,2.28,0.01,0.99,0.01,0.06,0.14,0.28,0.34,0.46,0.00,0.39,0.09,0.30,0.30,0.81,0.39,0.02,0.14,0.03,0.11,0.01,0.00,0.14,0.00,0.00,0.00,0.01,0.07,0.01,0.00,0.61,0.23,0.60,0.10,0.11,0.00,0.09,0.00,0.00,0.04,0.00,0.35,0.07,0.14,0.01,0.13,0.25,0.13,0.68,0.02,0.04,0.03,0.08,0.10,0.10,0.27,0.33,0.21,0.01,0.02,0.47,0.44,0.05,0.03,0.20,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.23,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.11,0.17,0.09,0.21,0.13,0.01,0.01,0.10,0.11,0.09,0.00,0.00,0.00,0.19,0.16,0.00,0.00,0.00,0.00,0.08,0.09,0.02,0.16,0.00,0.00,0.08,0.00,0.09,0.03,0.08,0.18,0.02,0.00,0.03,0.19,0.07,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
506,0.04,0.05,0.08,0.18,0.00,0.00,0.01,0.08,0.01,0.01,0.07,0.14,0.02,0.02,0.10,0.03,0.02,0.00,0.01,0.08,0.05,0.00,0.13,0.01,0.05,0.03,0.00,0.02,0.04,0.03,0.03,0.01,0.04,0.00,0.00,0.07,0.05,0.45,0.00,0.13,0.00,0.01,0.02,0.03,0.01,0.06,0.00,0.01,0.01,0.05,0.06,0.11,0.06,0.00,0.03,0.01,0.02,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.10,0.04,0.10,0.02,0.02,0.00,0.01,0.00,0.00,0.01,0.00,0.06,0.01,0.02,0.00,0.02,0.04,0.02,0.09,0.00,0.01,0.01,0.01,0.02,0.02,0.04,0.05,0.03,0.00,0.00,0.07,0.07,0.01,0.00,0.03,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.03,0.01,0.03,0.02,0.00,0.00,0.02,0.02,0.01,0.00,0.00,0.00,0.01,0.02,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.02,0.00,0.00,0.01,0.00,0.01,0.01,0.01,0.03,0.00,0.00,0.00,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
509,0.03,0.01,0.11,0.16,0.01,0.00,0.01,0.01,0.01,0.01,0.06,0.11,0.01,0.01,0.06,0.02,0.01,0.00,0.01,0.05,0.03,0.00,0.07,0.00,0.03,0.02,0.00,0.06,0.03,0.02,0.02,0.01,0.03,0.00,0.00,0.04,0.03,0.29,0.00,0.08,0.00,0.01,0.01,0.02,0.01,0.03,0.00,0.02,0.01,0.03,0.04,0.07,0.04,0.00,0.02,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.06,0.02,0.06,0.01,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.03,0.01,0.01,0.00,0.01,0.03,0.01,0.05,0.00,0.00,0.00,0.01,0.01,0.01,0.03,0.03,0.02,0.00,0.00,0.05,0.04,0.00,0.00,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,0.01,0.00,0.00,0.01,0.01,0.01,0.00,0.00,0.00,0.01,0.02,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.02,0.00,0.00,0.01,0.00,0.01,0.00,0.01,0.02,0.00,0.00,0.00,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
511,0.00,0.02,0.04,0.09,0.00,0.01,0.00,0.01,0.01,0.01,0.00,0.23,0.00,0.01,0.02,0.01,0.03,0.00,0.00,0.04,0.01,0.00,0.05,0.00,0.01,0.01,0.00,0.01,0.03,0.01,0.02,0.00,0.04,0.00,0.00,0.06,0.02,0.30,0.00,0.06,0.00,0.00,0.03,0.04,0.00,0.03,0.00,0.05,0.01,0.02,0.02,0.03,0.03,0.00,0.01,0.01,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.05,0.01,0.05,0.01,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.03,0.01,0.01,0.00,0.01,0.02,0.01,0.05,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.02,0.01,0.00,0.00,0.03,0.03,0.00,0.00,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.00,0.02,0.01,0.00,0.00,0.01,0.01,0.01,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.01,0.00,0.01,0.02,0.00,0.00,0.00,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
512,0.03,0.02,0.73,0.15,0.05,0.02,0.01,0.00,0.00,0.03,0.03,0.24,0.04,0.02,0.21,0.13,0.10,0.00,0.01,0.14,0.05,0.01,0.05,0.01,0.04,0.02,0.00,0.06,0.09,0.04,0.06,0.02,0.08,0.00,0.00,0.21,0.12,0.63,0.00,0.31,0.00,0.05,0.08,0.11,0.17,0.15,0.00,0.44,0.03,0.08,0.08,0.11,0.13,0.01,0.07,0.01,0.04,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.21,0.05,0.21,0.02,0.03,0.00,0.03,0.00,0.00,0.01,0.00,0.12,0.02,0.05,0.00,0.04,0.09,0.03,0.18,0.01,0.01,0.01,0.02,0.04,0.03,0.03,0.08,0.05,0.00,0.01,0.12,0.11,0.01,0.02,0.07,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.04,0.02,0.07,0.04,0.00,0.00,0.03,0.04,0.02,0.00,0.00,0.00,0.05,0.04,0.00,0.00,0.00,0.00,0.03,0.02,0.01,0.05,0.00,0.00,0.03,0.00,0.03,0.01,0.03,0.06,0.01,0.00,0.01,0.07,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
513,0.03,0.01,0.66,0.11,0.04,0.01,0.01,0.00,0.00,0.03,0.05,0.18,0.04,0.01,0.11,0.06,0.07,0.00,0.01,0.09,0.03,0.01,0.05,0.00,0.02,0.01,0.00,0.03,0.08,0.03,0.04,0.01,0.05,0.00,0.00,0.13,0.07,0.39,0.00,0.19,0.00,0.01,0.06,0.08,0.18,0.09,0.00,0.09,0.02,0.05,0.05,0.08,0.08,0.00,0.04,0.00,0.02,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.13,0.03,0.13,0.01,0.02,0.00,0.02,0.00,0.00,0.01,0.00,0.07,0.01,0.03,0.00,0.03,0.06,0.02,0.11,0.00,0.01,0.01,0.01,0.02,0.02,0.02,0.05,0.03,0.00,0.00,0.08,0.07,0.01,0.01,0.04,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.05,0.03,0.00,0.00,0.02,0.02,0.01,0.00,0.00,0.00,0.03,0.02,0.00,0.00,0.00,0.00,0.02,0.01,0.00,0.03,0.00,0.00,0.02,0.00,0.02,0.01,0.02,0.04,0.00,0.00,0.00,0.04,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
514,0.03,0.02,0.67,0.12,0.04,0.01,0.01,0.03,0.02,0.00,0.04,0.20,0.04,0.02,0.04,0.20,0.07,0.00,0.01,0.10,0.03,0.01,0.04,0.01,0.03,0.01,0.00,0.03,0.07,0.03,0.04,0.01,0.06,0.00,0.00,0.17,0.07,0.88,0.01,0.17,0.00,0.03,0.06,0.08,0.17,0.08,0.00,0.06,0.03,0.06,0.06,0.08,0.09,0.01,0.05,0.00,0.03,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.15,0.04,0.15,0.02,0.02,0.00,0.02,0.00,0.00,0.01,0.00,0.08,0.02,0.04,0.00,0.03,0.07,0.02,0.13,0.00,0.01,0.01,0.01,0.03,0.02,0.03,0.05,0.04,0.00,0.00,0.09,0.08,0.02,0.01,0.05,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.03,0.01,0.05,0.03,0.00,0.00,0.03,0.03,0.02,0.00,0.00,0.00,0.03,0.03,0.00,0.00,0.00,0.00,0.02,0.01,0.00,0.04,0.00,0.00,0.02,0.00,0.02,0.01,0.02,0.04,0.00,0.00,0.00,0.05,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
