501,0.05,0.10,0.44,0.39,0.11,0.05,0.02,0.20,0.17,0.38,0.11,0.38,0.06,0.05,0.11,0.19,0.05,0.00,0.05,0.26,0.04,0.11,0.16,0.08,0.05,0.07,0.02,0.17,0.15,0.03,0.28,0.10,0.34,0.10,0.06,0.10,0.12,0.24,0.27,0.41,0.09,0.09,0.11,0.22,0.15,0.08,0.06,0.19,0.02,0.07,0.04,0.07,0.05,0.02,0.05,0.01,0.01,0.05,0.00,0.24,0.00,0.07,0.02,0.04,0.09,0.01,0.00,0.31,0.01,0.69,0.02,0.01,0.00,0.02,0.00,0.00,0.03,0.00,0.56,0.32,0.37,0.01,0.15,0.30,0.06,0.36,0.05,0.15,0.18,0.00,0.32,0.04,0.05,0.04,0.19,0.06,0.04,0.13,0.12,0.10,0.09,0.07,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.13,0.04,0.00,0.00,0.02,0.00,0.00,0.00,0.01,0.01,0.08,0.09,0.09,0.15,0.01,0.06,0.24,0.04,0.08,0.00,0.00,0.00,0.36,0.00,0.00,0.00,0.00,0.00,0.04,0.08,0.01,0.06,0.00,0.00,0.01,0.00,0.38,0.08,0.30,0.35,0.03,0.00,0.01,0.04,0.24,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
502,0.07,0.07,0.86,0.18,0.12,0.12,0.08,0.29,0.07,0.15,0.29,0.08,0.12,0.05,0.14,0.21,0.06,0.00,0.05,0.25,0.07,0.10,0.27,0.10,0.07,0.10,0.08,0.23,0.22,0.05,0.38,0.10,0.45,0.13,0.08,0.16,0.16,0.44,0.29,0.54,0.08,0.09,0.05,0.08,0.33,0.12,0.06,0.28,0.02,0.07,0.06,0.12,0.06,0.02,0.08,0.05,0.02,0.04,0.00,0.21,0.00,0.06,0.02,0.04,0.08,0.01,0.00,0.28,0.02,0.61,0.03,0.02,0.00,0.02,0.00,0.00,0.02,0.00,0.49,0.29,0.33,0.01,0.14,0.21,0.09,0.33,0.04,0.14,0.17,0.00,0.28,0.04,0.06,0.08,0.25,0.05,0.06,0.18,0.17,0.12,0.12,0.06,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.12,0.04,0.00,0.00,0.01,0.00,0.00,0.00,0.02,0.02,0.11,0.12,0.08,0.13,0.01,0.05,0.21,0.04,0.07,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.04,0.07,0.03,0.06,0.00,0.00,0.01,0.00,0.35,0.07,0.27,0.32,0.03,0.00,0.01,0.04,0.21,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
504,0.64,0.90,0.72,0.61,0.77,0.41,0.25,1.79,1.59,3.65,1.54,1.36,0.34,1.25,3.07,1.65,0.36,0.03,0.42,2.09,0.35,1.16,1.46,2.62,0.47,0.61,0.60,2.10,1.42,0.26,3.06,1.14,3.38,1.20,0.70,0.51,1.09,0.79,3.62,4.08,0.91,0.94,0.37,0.52,0.68,0.58,0.68,0.11,0.09,0.41,0.13,0.17,0.15,0.23,0.40,0.31,0.08,0.52,0.00,3.02,0.00,0.78,0.20,0.51,0.92,0.13,0.00,3.63,0.03,7.36,0.23,0.03,0.00,0.17,0.00,0.00,0.29,0.00,5.76,3.68,4.03,0.11,1.73,3.09,1.37,3.86,0.53,1.78,2.19,0.02,3.47,0.35,0.53,0.32,2.24,0.68,0.50,1.41,1.25,1.06,1.07,0.77,2.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.31,1.17,0.46,0.00,0.00,0.16,0.00,0.00,0.00,0.05,0.08,1.42,1.10,0.95,1.67,0.28,0.67,2.47,0.26,0.95,0.00,0.00,0.00,2.96,0.02,0.00,0.00,0.00,0.00,0.37,1.61,0.06,0.71,0.00,0.00,0.07,0.00,4.40,0.82,3.34,4.30,0.40,0.00,0.13,0.41,2.38,0.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
505,0.39,0.45,0.71,0.30,0.50,0.26,0.18,0.36,0.32,0.75,0.47,0.57,0.29,0.30,0.60,0.93,0.19,0.02,0.23,1.06,0.27,0.57,0.83,1.63,0.28,0.34,0.35,1.25,0.85,0.18,2.07,0.61,1.68,0.86,0.50,0.30,0.62,0.47,1.93,2.27,0.46,0.48,0.20,0.27,0.43,0.33,0.38,0.13,0.05,0.21,0.07,0.10,0.08,0.11,0.28,0.19,0.04,0.25,0.00,1.52,0.00,0.37,0.10,0.26,0.50,0.07,0.00,1.80,0.02,3.67,0.16,0.02,0.00,0.10,0.00,0.00,0.16,0.00,2.83,1.91,2.03,0.06,0.86,1.12,0.55,2.00,0.27,0.90,1.12,0.02,1.74,0.17,0.36,0.29,1.58,0.34,0.36,1.01,0.90,0.76,0.48,0.39,1.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.58,0.23,0.00,0.00,0.08,0.00,0.00,0.00,0.03,0.05,0.77,0.77,0.47,0.56,0.15,0.33,1.24,0.13,0.46,0.00,0.00,0.00,2.52,0.01,0.00,0.00,0.00,0.00,0.21,0.87,0.19,0.36,0.00,0.00,0.04,0.00,2.21,0.41,1.67,2.13,0.20,0.00,0.07,0.20,1.18,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
506,0.12,0.17,0.25,0.42,0.05,0.04,0.06,0.33,0.12,0.26,0.25,0.25,0.05,0.12,0.26,0.16,0.05,0.00,0.04,0.20,0.04,0.07,0.27,0.19,0.14,0.09,0.05,0.17,0.18,0.05,0.27,0.08,0.24,0.10,0.06,0.13,0.13,0.56,0.25,0.45,0.06,0.07,0.04,0.07,0.05,0.10,0.05,0.04,0.02,0.06,0.06,0.11,0.06,0.02,0.06,0.04,0.02,0.03,0.00,0.17,0.00,0.04,0.01,0.03,0.06,0.01,0.00,0.20,0.03,0.44,0.03,0.02,0.00,0.01,0.00,0.00,0.02,0.00,0.36,0.22,0.23,0.01,0.10,0.20,0.09,0.23,0.03,0.10,0.13,0.00,0.20,0.03,0.05,0.08,0.19,0.04,0.04,0.16,0.15,0.09,0.06,0.05,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.09,0.03,0.00,0.00,0.01,0.00,0.00,0.00,0.02,0.02,0.09,0.09,0.06,0.10,0.02,0.04,0.15,0.03,0.06,0.00,0.00,0.00,0.32,0.00,0.00,0.00,0.00,0.00,0.02,0.09,0.00,0.04,0.00,0.00,0.01,0.00,0.25,0.05,0.19,0.24,0.02,0.00,0.01,0.03,0.15,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
509,0.05,0.09,0.18,0.21,0.07,0.03,0.04,0.06,0.05,0.12,0.21,0.09,0.04,0.11,0.31,0.17,0.03,0.00,0.03,0.21,0.04,0.07,0.20,0.21,0.14,0.07,0.05,0.63,0.15,0.04,0.35,0.11,0.35,0.14,0.09,0.07,0.13,0.23,0.36,0.45,0.06,0.07,0.03,0.04,0.07,0.07,0.08,0.03,0.01,0.05,0.02,0.04,0.02,0.01,0.04,0.03,0.01,0.03,0.00,0.15,0.00,0.04,0.01,0.03,0.04,0.01,0.00,0.20,0.01,0.43,0.03,0.01,0.00,0.01,0.00,0.00,0.02,0.00,0.33,0.22,0.24,0.01,0.10,0.14,0.13,0.23,0.03,0.10,0.12,0.00,0.20,0.02,0.06,0.06,0.26,0.04,0.06,0.18,0.16,0.10,0.08,0.05,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.07,0.03,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.01,0.13,0.12,0.06,0.06,0.02,0.04,0.15,0.02,0.05,0.00,0.00,0.00,0.31,0.00,0.00,0.00,0.00,0.00,0.03,0.13,0.01,0.04,0.00,0.00,0.01,0.00,0.25,0.05,0.19,0.23,0.02,0.00,0.01,0.02,0.14,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
511,0.03,0.07,0.11,0.14,0.05,0.04,0.01,0.08,0.09,0.18,0.06,0.26,0.01,0.03,0.06,0.11,0.09,0.00,0.03,0.15,0.03,0.07,0.13,0.05,0.03,0.02,0.02,0.11,0.09,0.02,0.16,0.06,0.19,0.06,0.04,0.05,0.07,0.11,0.18,0.24,0.05,0.17,0.08,0.10,0.03,0.04,0.04,0.06,0.01,0.04,0.02,0.03,0.02,0.01,0.03,0.01,0.01,0.03,0.00,0.13,0.00,0.04,0.01,0.03,0.05,0.01,0.00,0.18,0.00,0.42,0.01,0.00,0.00,0.01,0.00,0.00,0.02,0.00,0.35,0.19,0.22,0.01,0.09,0.18,0.05,0.22,0.03,0.09,0.10,0.00,0.19,0.02,0.03,0.02,0.11,0.03,0.02,0.07,0.07,0.08,0.05,0.04,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.08,0.03,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.07,0.05,0.06,0.09,0.01,0.04,0.15,0.02,0.05,0.00,0.00,0.00,0.24,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.00,0.04,0.00,0.00,0.00,0.00,0.23,0.06,0.19,0.20,0.02,0.00,0.00,0.03,0.15,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
512,0.18,0.22,1.26,0.24,0.27,0.06,0.07,0.27,0.25,0.76,0.34,0.46,0.16,0.10,0.95,1.27,0.39,0.01,0.11,0.65,0.12,0.28,0.16,0.18,0.11,0.06,0.04,0.39,0.34,0.07,0.54,0.21,0.64,0.24,0.15,0.27,0.30,0.74,0.61,1.01,0.58,0.66,0.34,0.42,0.42,0.21,0.13,0.55,0.04,0.17,0.11,0.20,0.14,0.06,0.12,0.03,0.04,0.12,0.00,0.52,0.00,0.15,0.04,0.10,0.20,0.03,0.00,0.71,0.03,1.64,0.05,0.02,0.00,0.03,0.00,0.00,0.06,0.00,1.36,0.72,0.86,0.02,0.36,0.72,0.14,0.83,0.10,0.35,0.41,0.01,0.75,0.11,0.09,0.14,0.46,0.13,0.10,0.33,0.31,0.26,0.22,0.16,0.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.21,0.11,0.00,0.00,0.03,0.00,0.00,0.00,0.02,0.03,0.19,0.18,0.22,0.34,0.03,0.14,0.57,0.09,0.19,0.00,0.00,0.00,0.83,0.01,0.00,0.00,0.00,0.00,0.09,0.17,0.01,0.14,0.00,0.00,0.02,0.00,0.88,0.25,0.72,0.81,0.08,0.00,0.01,0.11,0.58,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
513,0.17,0.07,1.33,0.23,0.13,0.05,0.08,0.16,0.15,0.49,0.32,0.43,0.18,0.06,0.58,0.70,0.28,0.01,0.06,0.40,0.08,0.14,0.11,0.09,0.07,0.04,0.02,0.21,0.24,0.06,0.31,0.11,0.35,0.12,0.08,0.23,0.19,0.71,0.31,0.65,0.27,0.27,0.24,0.31,0.46,0.16,0.06,0.12,0.03,0.12,0.10,0.18,0.13,0.03,0.09,0.02,0.03,0.04,0.00,0.31,0.00,0.08,0.02,0.05,0.10,0.01,0.00,0.38,0.03,0.83,0.03,0.02,0.00,0.02,0.00,0.00,0.03,0.00,0.72,0.39,0.44,0.01,0.19,0.39,0.07,0.41,0.05,0.19,0.23,0.01,0.38,0.07,0.06,0.11,0.24,0.07,0.05,0.20,0.19,0.11,0.11,0.08,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.13,0.06,0.00,0.00,0.01,0.00,0.00,0.00,0.02,0.02,0.10,0.11,0.11,0.18,0.01,0.07,0.39,0.06,0.10,0.00,0.00,0.00,0.43,0.00,0.00,0.00,0.00,0.00,0.04,0.09,0.01,0.07,0.00,0.00,0.01,0.00,0.46,0.13,0.37,0.45,0.04,0.00,0.01,0.06,0.30,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
514,0.34,0.14,3.04,0.55,0.28,0.11,0.16,0.66,0.35,0.43,0.57,1.01,0.36,0.12,0.32,1.52,0.60,0.02,0.11,0.77,0.15,0.23,0.24,0.15,0.15,0.08,0.04,0.36,0.44,0.11,0.49,0.16,0.55,0.15,0.10,0.51,0.34,1.61,0.50,1.13,0.43,0.64,0.49,0.60,0.96,0.30,0.10,0.27,0.08,0.27,0.23,0.42,0.31,0.06,0.19,0.03,0.07,0.07,0.00,0.39,0.00,0.11,0.03,0.07,0.15,0.02,0.00,0.52,0.07,1.23,0.05,0.04,0.00,0.03,0.00,0.00,0.05,0.00,1.11,0.54,0.63,0.02,0.26,0.61,0.13,0.59,0.08,0.26,0.30,0.01,0.55,0.13,0.06,0.17,0.30,0.09,0.06,0.29,0.30,0.22,0.14,0.12,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.21,0.09,0.00,0.00,0.02,0.00,0.00,0.00,0.05,0.05,0.15,0.13,0.17,0.26,0.02,0.10,0.43,0.13,0.14,0.00,0.00,0.00,0.60,0.01,0.00,0.00,0.00,0.00,0.06,0.13,0.01,0.10,0.00,0.00,0.02,0.00,0.64,0.19,0.53,0.59,0.06,0.00,0.01,0.10,0.47,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
