501,0.03,0.07,0.58,0.30,0.06,0.02,0.03,0.15,0.11,0.20,0.15,0.77,0.07,0.05,0.14,0.11,0.03,0.00,0.02,0.08,0.02,0.03,0.07,0.03,0.03,0.02,0.01,0.06,0.04,0.01,0.08,0.03,0.09,0.03,0.02,0.05,0.08,0.15,0.07,0.29,0.03,0.05,0.05,0.16,0.24,0.06,0.01,0.15,0.01,0.04,0.04,0.08,0.03,0.01,0.03,0.01,0.01,0.01,0.00,0.11,0.00,0.02,0.00,0.02,0.04,0.01,0.00,0.04,0.00,0.18,0.02,0.00,0.00,0.02,0.00,0.00,0.03,0.00,0.17,0.15,0.10,0.00,0.03,0.09,0.01,0.07,0.01,0.04,0.07,0.00,0.09,0.01,0.02,0.01,0.05,0.02,0.01,0.04,0.04,0.03,0.02,0.02,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.03,0.03,0.02,0.05,0.00,0.02,0.07,0.02,0.03,0.00,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.00,0.02,0.00,0.00,0.01,0.00,0.10,0.02,0.08,0.10,0.01,0.00,0.00,0.01,0.07,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
502,0.09,0.04,0.78,0.60,0.09,0.05,0.04,0.14,0.05,0.08,0.24,0.95,0.09,0.08,0.20,0.11,0.03,0.00,0.01,0.07,0.04,0.03,0.24,0.03,0.04,0.07,0.02,0.08,0.06,0.03,0.12,0.03,0.13,0.03,0.02,0.10,0.11,0.34,0.07,0.38,0.02,0.04,0.03,0.07,0.31,0.11,0.01,0.25,0.01,0.04,0.04,0.09,0.05,0.01,0.06,0.03,0.01,0.01,0.00,0.10,0.00,0.01,0.00,0.02,0.04,0.01,0.00,0.04,0.00,0.15,0.02,0.00,0.00,0.02,0.00,0.00,0.02,0.00,0.13,0.14,0.09,0.00,0.03,0.05,0.02,0.07,0.01,0.04,0.06,0.00,0.07,0.01,0.03,0.02,0.06,0.01,0.01,0.06,0.06,0.04,0.03,0.02,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.02,0.04,0.00,0.01,0.05,0.02,0.02,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.02,0.02,0.00,0.00,0.01,0.00,0.09,0.02,0.07,0.08,0.01,0.00,0.00,0.01,0.05,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
504,0.23,0.31,0.32,0.65,0.33,0.17,0.11,0.58,0.49,1.15,0.67,1.01,0.14,0.50,1.27,0.54,0.12,0.01,0.13,0.60,0.11,0.33,0.64,0.82,0.19,0.22,0.17,0.72,0.47,0.10,0.93,0.28,1.02,0.32,0.20,0.20,0.36,0.50,1.00,1.26,0.29,0.31,0.14,0.20,0.41,0.25,0.18,0.28,0.03,0.13,0.05,0.08,0.06,0.07,0.18,0.12,0.03,0.14,0.00,1.31,0.00,0.25,0.05,0.21,0.49,0.11,0.00,0.48,0.00,1.79,0.26,0.02,0.00,0.30,0.00,0.00,0.32,0.00,1.60,1.79,1.05,0.05,0.36,0.85,0.38,0.79,0.12,0.48,0.78,0.03,0.88,0.10,0.29,0.08,0.62,0.19,0.14,0.39,0.40,0.30,0.28,0.21,0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.34,0.12,0.00,0.00,0.05,0.00,0.00,0.00,0.04,0.08,0.47,0.40,0.22,0.54,0.13,0.18,0.67,0.09,0.29,0.00,0.00,0.00,0.73,0.01,0.00,0.00,0.00,0.00,0.23,0.63,0.06,0.23,0.00,0.00,0.11,0.00,1.10,0.22,0.81,1.10,0.08,0.00,0.05,0.11,0.68,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
505,0.14,0.23,0.68,0.22,0.20,0.10,0.06,0.12,0.11,0.24,0.19,0.78,0.11,0.19,0.31,0.28,0.06,0.01,0.07,0.29,0.08,0.16,0.46,0.49,0.11,0.16,0.12,0.44,0.28,0.06,0.58,0.14,0.47,0.25,0.15,0.12,0.20,0.30,0.52,0.69,0.13,0.14,0.06,0.09,0.37,0.14,0.09,0.19,0.02,0.06,0.04,0.05,0.04,0.03,0.14,0.09,0.02,0.07,0.00,0.74,0.00,0.09,0.03,0.12,0.27,0.06,0.00,0.25,0.00,0.93,0.17,0.01,0.00,0.17,0.00,0.00,0.18,0.00,0.78,1.00,0.56,0.03,0.19,0.28,0.13,0.44,0.07,0.27,0.43,0.02,0.47,0.05,0.20,0.09,0.46,0.10,0.11,0.30,0.30,0.23,0.14,0.12,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.16,0.06,0.00,0.00,0.02,0.00,0.00,0.00,0.03,0.05,0.26,0.29,0.12,0.20,0.07,0.09,0.34,0.04,0.11,0.00,0.00,0.00,0.62,0.01,0.00,0.00,0.00,0.00,0.13,0.36,0.19,0.13,0.00,0.00,0.06,0.00,0.60,0.11,0.43,0.59,0.04,0.00,0.03,0.06,0.33,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
506,0.07,0.07,0.91,0.51,0.04,0.06,0.04,0.15,0.06,0.12,0.21,0.33,0.03,0.25,0.65,0.13,0.03,0.00,0.01,0.07,0.03,0.02,0.19,0.08,0.13,0.06,0.02,0.10,0.08,0.02,0.10,0.03,0.10,0.03,0.02,0.14,0.15,0.38,0.07,0.54,0.02,0.04,0.03,0.07,0.29,0.16,0.01,0.27,0.01,0.03,0.04,0.08,0.05,0.01,0.06,0.02,0.01,0.01,0.00,0.09,0.00,0.02,0.00,0.02,0.04,0.01,0.00,0.03,0.00,0.13,0.02,0.00,0.00,0.02,0.00,0.00,0.02,0.00,0.12,0.13,0.07,0.00,0.03,0.07,0.03,0.06,0.01,0.03,0.06,0.00,0.06,0.01,0.03,0.03,0.06,0.01,0.01,0.06,0.06,0.04,0.02,0.02,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.02,0.04,0.01,0.01,0.05,0.02,0.02,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.00,0.02,0.00,0.00,0.01,0.00,0.08,0.02,0.06,0.08,0.01,0.00,0.00,0.01,0.05,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
509,0.03,0.03,0.40,0.21,0.05,0.02,0.02,0.03,0.02,0.05,0.10,0.13,0.02,0.13,0.35,0.09,0.01,0.00,0.01,0.05,0.02,0.02,0.10,0.08,0.08,0.03,0.02,0.18,0.06,0.01,0.09,0.03,0.11,0.04,0.02,0.07,0.09,0.18,0.09,0.30,0.02,0.02,0.01,0.03,0.16,0.08,0.02,0.13,0.00,0.02,0.02,0.03,0.02,0.00,0.03,0.01,0.01,0.01,0.00,0.07,0.00,0.01,0.00,0.01,0.01,0.01,0.00,0.03,0.00,0.10,0.02,0.00,0.00,0.02,0.00,0.00,0.02,0.00,0.08,0.10,0.06,0.00,0.02,0.03,0.03,0.04,0.01,0.02,0.04,0.00,0.05,0.01,0.02,0.02,0.07,0.01,0.02,0.06,0.05,0.03,0.02,0.01,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.04,0.01,0.02,0.01,0.01,0.04,0.01,0.01,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.00,0.01,0.00,0.00,0.01,0.00,0.06,0.01,0.05,0.06,0.00,0.00,0.00,0.01,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
511,0.03,0.03,0.25,0.14,0.03,0.02,0.01,0.07,0.06,0.11,0.06,0.26,0.02,0.02,0.07,0.06,0.03,0.00,0.01,0.05,0.01,0.02,0.07,0.02,0.02,0.02,0.00,0.04,0.03,0.01,0.05,0.02,0.06,0.02,0.01,0.02,0.03,0.07,0.05,0.12,0.02,0.05,0.04,0.07,0.09,0.03,0.01,0.07,0.00,0.02,0.02,0.03,0.01,0.00,0.02,0.01,0.00,0.01,0.00,0.06,0.00,0.01,0.00,0.01,0.02,0.01,0.00,0.03,0.00,0.11,0.01,0.00,0.00,0.01,0.00,0.00,0.02,0.00,0.11,0.09,0.06,0.00,0.02,0.06,0.01,0.05,0.01,0.03,0.04,0.00,0.05,0.01,0.01,0.01,0.03,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.01,0.03,0.00,0.01,0.04,0.01,0.02,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.00,0.01,0.00,0.00,0.01,0.00,0.06,0.02,0.05,0.06,0.00,0.00,0.00,0.01,0.04,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
512,0.17,0.08,1.52,0.29,0.14,0.03,0.09,0.18,0.26,0.50,0.46,0.67,0.17,0.14,1.26,0.92,0.20,0.01,0.05,0.23,0.07,0.09,0.13,0.06,0.06,0.03,0.01,0.12,0.11,0.03,0.15,0.07,0.20,0.07,0.04,0.17,0.19,0.61,0.15,0.69,0.18,0.29,0.21,0.47,0.63,0.20,0.03,0.39,0.02,0.11,0.13,0.26,0.11,0.02,0.08,0.02,0.03,0.04,0.00,0.23,0.00,0.05,0.01,0.04,0.09,0.02,0.00,0.10,0.00,0.43,0.04,0.00,0.00,0.05,0.00,0.00,0.06,0.00,0.43,0.34,0.24,0.01,0.08,0.22,0.03,0.17,0.03,0.10,0.14,0.00,0.20,0.03,0.04,0.04,0.13,0.04,0.03,0.11,0.10,0.07,0.06,0.05,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.08,0.03,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.01,0.06,0.06,0.05,0.11,0.01,0.04,0.16,0.05,0.06,0.00,0.00,0.00,0.23,0.00,0.00,0.00,0.00,0.00,0.05,0.08,0.01,0.04,0.00,0.00,0.02,0.00,0.23,0.08,0.19,0.22,0.02,0.00,0.01,0.04,0.17,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
513,0.15,0.05,1.45,0.27,0.11,0.03,0.09,0.31,0.11,0.40,0.44,0.62,0.16,0.15,1.38,0.89,0.18,0.01,0.03,0.17,0.06,0.05,0.08,0.03,0.06,0.02,0.01,0.09,0.08,0.03,0.11,0.05,0.15,0.04,0.02,0.19,0.20,0.69,0.09,0.71,0.12,0.17,0.19,0.46,0.61,0.22,0.02,0.11,0.03,0.10,0.13,0.27,0.11,0.01,0.07,0.01,0.03,0.02,0.00,0.16,0.00,0.03,0.01,0.03,0.06,0.01,0.00,0.06,0.00,0.26,0.03,0.00,0.00,0.04,0.00,0.00,0.04,0.00,0.28,0.22,0.14,0.01,0.05,0.14,0.02,0.10,0.02,0.06,0.09,0.00,0.12,0.03,0.03,0.04,0.08,0.02,0.02,0.08,0.08,0.04,0.04,0.03,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.02,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.01,0.04,0.05,0.03,0.07,0.01,0.02,0.15,0.04,0.04,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.01,0.03,0.00,0.00,0.01,0.00,0.14,0.05,0.11,0.14,0.01,0.00,0.00,0.02,0.11,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
514,0.35,0.11,3.45,0.64,0.25,0.07,0.20,0.77,0.54,0.71,0.97,1.49,0.38,0.24,0.98,1.31,0.38,0.02,0.06,0.32,0.13,0.08,0.26,0.05,0.10,0.07,0.01,0.17,0.15,0.06,0.16,0.07,0.22,0.04,0.03,0.31,0.43,1.15,0.13,1.53,0.17,0.44,0.41,1.03,1.41,0.47,0.02,0.40,0.05,0.22,0.30,0.64,0.26,0.02,0.15,0.03,0.07,0.02,0.00,0.21,0.00,0.04,0.01,0.04,0.08,0.02,0.00,0.09,0.00,0.38,0.03,0.00,0.00,0.05,0.00,0.00,0.05,0.00,0.43,0.31,0.21,0.01,0.07,0.23,0.03,0.15,0.02,0.09,0.13,0.00,0.18,0.05,0.03,0.04,0.09,0.03,0.01,0.11,0.11,0.08,0.04,0.04,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.10,0.03,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.01,0.06,0.05,0.05,0.10,0.01,0.04,0.14,0.09,0.05,0.00,0.00,0.00,0.19,0.00,0.00,0.00,0.00,0.00,0.04,0.07,0.01,0.04,0.00,0.00,0.02,0.00,0.20,0.07,0.16,0.19,0.01,0.00,0.01,0.04,0.16,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
