501,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.02,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.00,0.01,0.01,0.00,0.00,0.00,0.14,0.04,0.01,0.04,0.06,0.00,0.01,0.20,0.02,0.01,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.04,0.01,0.01,0.00,0.04,0.00,0.00,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.04,0.00,0.01,0.02,0.00,0.00,0.00,0.02,0.05,0.00,0.00,0.00,0.00,0.04,0.05,0.02,0.00,0.00,0.05,0.01,0.01,0.00,0.00,0.11,0.00,0.00,0.00,0.01,0.07,0.01,0.00,0.00,0.01,0.05,0.05,0.00,0.07,0.01,0.00,0.03,0.01,0.06,0.00,0.00,0.08,0.01,0.04,0.02,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.05,0.00
502,0.00,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.01,0.01,0.01,0.00,0.00,0.01,0.04,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.03,0.04,0.00,0.01,0.02,0.01,0.00,0.00,0.27,0.10,0.02,0.07,0.13,0.00,0.02,0.33,0.04,0.02,0.00,0.03,0.00,0.01,0.00,0.02,0.00,0.00,0.01,0.01,0.00,0.07,0.02,0.03,0.00,0.07,0.00,0.01,0.01,0.02,0.02,0.02,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.01,0.07,0.00,0.02,0.00,0.00,0.01,0.00,0.03,0.09,0.00,0.00,0.01,0.00,0.09,0.09,0.04,0.01,0.00,0.10,0.02,0.02,0.00,0.00,0.21,0.00,0.00,0.00,0.01,0.15,0.01,0.01,0.00,0.02,0.11,0.09,0.01,0.13,0.02,0.00,0.06,0.01,0.12,0.00,0.01,0.16,0.01,0.08,0.03,0.00,0.00,0.00,0.00,0.01,0.03,0.02,0.00,0.01,0.01,0.10,0.00
504,0.00,0.01,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.01,0.01,0.01,0.00,0.00,0.01,0.04,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,0.01,0.00,0.01,0.00,0.01,0.00,0.00,0.01,0.04,0.00,0.01,0.02,0.00,0.00,0.00,0.29,0.00,0.02,0.08,0.11,0.00,0.01,0.35,0.05,0.02,0.00,0.02,0.00,0.01,0.00,0.02,0.00,0.01,0.00,0.01,0.00,0.08,0.02,0.02,0.00,0.07,0.00,0.01,0.02,0.02,0.02,0.02,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.01,0.07,0.00,0.02,0.03,0.00,0.01,0.00,0.03,0.10,0.00,0.00,0.01,0.00,0.08,0.09,0.04,0.01,0.00,0.11,0.02,0.02,0.00,0.00,0.22,0.00,0.00,0.00,0.01,0.11,0.01,0.01,0.00,0.02,0.05,0.09,0.00,0.13,0.02,0.00,0.06,0.02,0.13,0.00,0.01,0.17,0.01,0.09,0.03,0.00,0.00,0.00,0.00,0.01,0.03,0.02,0.00,0.01,0.01,0.10,0.00
505,0.01,0.01,0.02,0.04,0.01,0.00,0.01,0.01,0.00,0.00,0.00,0.03,0.00,0.00,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.02,0.03,0.02,0.01,0.01,0.02,0.10,0.01,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.03,0.01,0.01,0.03,0.00,0.01,0.00,0.01,0.00,0.01,0.07,0.10,0.00,0.03,0.06,0.00,0.00,0.01,0.70,0.24,0.05,0.19,0.33,0.01,0.04,0.84,0.11,0.06,0.01,0.07,0.01,0.02,0.00,0.06,0.01,0.01,0.00,0.03,0.00,0.18,0.04,0.07,0.00,0.18,0.01,0.02,0.04,0.04,0.04,0.04,0.00,0.01,0.00,0.00,0.04,0.02,0.04,0.02,0.02,0.18,0.00,0.04,0.08,0.00,0.01,0.00,0.08,0.23,0.00,0.01,0.02,0.01,0.22,0.23,0.11,0.02,0.01,0.25,0.04,0.04,0.01,0.01,0.54,0.00,0.01,0.00,0.03,0.39,0.02,0.02,0.00,0.06,0.28,0.24,0.03,0.33,0.05,0.01,0.14,0.04,0.31,0.00,0.01,0.41,0.03,0.21,0.08,0.00,0.00,0.00,0.00,0.02,0.07,0.05,0.01,0.01,0.01,0.25,0.01
506,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.01,0.03,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.00,0.01,0.02,0.01,0.00,0.00,0.18,0.07,0.01,0.05,0.09,0.00,0.01,0.22,0.02,0.02,0.00,0.02,0.00,0.00,0.00,0.02,0.00,0.00,0.01,0.01,0.00,0.05,0.01,0.02,0.00,0.05,0.00,0.00,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,0.05,0.00,0.01,0.02,0.00,0.00,0.00,0.02,0.06,0.00,0.00,0.00,0.00,0.06,0.04,0.03,0.01,0.00,0.06,0.01,0.01,0.00,0.00,0.14,0.00,0.00,0.00,0.01,0.10,0.01,0.00,0.00,0.01,0.07,0.06,0.01,0.08,0.01,0.00,0.04,0.01,0.08,0.00,0.00,0.10,0.01,0.05,0.02,0.00,0.00,0.00,0.00,0.01,0.02,0.01,0.00,0.00,0.00,0.06,0.00
509,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.00,0.01,0.02,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.02,0.00,0.00,0.00,0.00,0.02,0.01,0.01,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,0.00,0.00,0.01,0.00,0.02,0.00,0.00,0.03,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00
511,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.02,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.00,0.01,0.01,0.01,0.00,0.00,0.15,0.05,0.01,0.04,0.07,0.00,0.01,0.17,0.02,0.02,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.01,0.00,0.04,0.01,0.02,0.00,0.04,0.00,0.00,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.04,0.00,0.01,0.02,0.00,0.00,0.00,0.02,0.05,0.00,0.00,0.00,0.01,0.05,0.05,0.02,0.00,0.00,0.05,0.01,0.01,0.00,0.00,0.11,0.00,0.00,0.00,0.01,0.08,0.01,0.00,0.00,0.01,0.06,0.05,0.01,0.07,0.00,0.00,0.03,0.01,0.06,0.00,0.00,0.08,0.01,0.04,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.05,0.00
512,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.00,0.00,0.00,0.02,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.01,0.01,0.01,0.00,0.00,0.16,0.07,0.01,0.06,0.07,0.00,0.01,0.21,0.03,0.02,0.00,0.02,0.00,0.01,0.00,0.02,0.00,0.00,0.01,0.01,0.00,0.06,0.01,0.02,0.00,0.06,0.00,0.01,0.01,0.01,0.01,0.02,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.00,0.04,0.00,0.01,0.02,0.00,0.00,0.00,0.02,0.06,0.00,0.00,0.00,0.01,0.07,0.05,0.03,0.01,0.00,0.01,0.01,0.01,0.00,0.00,0.16,0.00,0.01,0.00,0.00,0.11,0.01,0.00,0.00,0.02,0.07,0.07,0.01,0.10,0.00,0.00,0.05,0.01,0.07,0.00,0.00,0.09,0.01,0.05,0.02,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.01,0.05,0.00
513,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.00,0.01,0.01,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.02,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00
514,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.08,0.03,0.01,0.02,0.04,0.00,0.00,0.12,0.01,0.01,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.01,0.00,0.02,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.02,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.03,0.00,0.00,0.00,0.00,0.03,0.03,0.01,0.00,0.00,0.03,0.00,0.01,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.01,0.03,0.03,0.00,0.04,0.00,0.00,0.02,0.00,0.04,0.00,0.00,0.05,0.00,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.03,0.00
